,id,carat,cut,color,clarity,depth,table,x,y,z,price
19684,19685,1.51,Very Good,F,SI2,63.2,60.0,7.2,7.27,4.57,8462
25871,25872,0.3,Good,H,SI2,63.9,57.0,4.27,4.24,2.72,485
14797,14798,0.34,Premium,G,VS2,60.2,58.0,4.51,4.56,2.73,596
4500,4501,0.32,Ideal,F,IF,61.6,56.0,4.43,4.47,2.74,929
15105,15106,0.48,Very Good,E,SI1,62.7,58.5,4.99,5.01,3.14,1349
14931,14932,0.78,Ideal,E,SI1,61.6,56.0,5.94,6.0,3.68,3345
5816,5817,0.32,Ideal,H,SI2,61.4,56.0,4.4,4.43,2.71,420
20135,20136,0.32,Very Good,H,VVS2,60.2,60.0,4.45,4.48,2.69,645
12795,12796,0.43,Very Good,G,SI1,62.9,55.0,4.83,4.87,3.05,754
6417,6418,0.24,Ideal,I,VVS2,61.5,56.0,4.02,4.05,2.48,523
9567,9568,0.72,Very Good,E,VS2,63.8,57.0,5.66,5.69,3.62,3035
16939,16940,1.03,Ideal,D,SI2,61.8,56.0,6.51,6.46,4.01,4764
8362,8363,0.53,Ideal,H,VVS1,60.8,56.0,5.24,5.26,3.19,1781
3222,3223,0.31,Very Good,G,VVS2,62.3,59.0,4.29,4.32,2.68,617
14542,14543,0.5,Fair,E,VS2,66.3,55.0,4.98,4.94,3.29,1397
12177,12178,1.02,Ideal,F,VS1,61.2,57.0,6.45,6.52,3.98,8024
17869,17870,0.31,Ideal,H,IF,60.8,57.0,4.38,4.4,2.67,761
2901,2902,0.31,Ideal,D,SI1,61.3,56.0,4.36,4.41,2.69,565
1283,1284,1.01,Very Good,F,SI1,60.7,58.0,6.4,6.51,3.92,5248
4900,4901,2.3,Ideal,G,SI2,61.6,57.0,8.47,8.41,5.2,15433
16568,16569,0.52,Ideal,D,SI1,62.7,56.0,5.17,5.14,3.23,1720
11167,11168,0.71,Good,G,SI2,58.2,64.0,5.82,5.77,3.37,1902
8084,8085,0.39,Premium,G,VVS1,59.9,59.0,4.75,4.73,2.84,1170
13609,13610,0.7,Premium,H,VS1,60.6,59.0,5.81,5.74,3.5,2636
797,798,1.15,Ideal,E,VVS2,61.5,57.0,6.72,6.75,4.14,12193
22390,22391,0.4,Ideal,F,VS2,61.9,55.0,4.77,4.73,2.94,975
23213,23214,1.21,Premium,I,SI1,61.6,58.0,6.89,6.84,4.23,5353
17880,17881,0.7,Ideal,G,VS1,61.7,56.0,5.64,5.71,3.5,2972
21928,21929,1.2,Premium,F,SI2,62.9,57.0,6.8,6.72,4.25,5712
25259,25260,0.38,Ideal,H,VS1,,55.4,4.63,4.68,2.89,714
8353,8354,0.53,Very Good,D,VVS2,60.5,57.0,5.23,5.31,3.19,2542
19649,19650,1.71,Premium,G,SI2,60.9,58.0,7.72,7.68,4.69,11351
7566,7567,0.32,Very Good,E,SI1,60.4,61.0,4.39,4.42,2.66,524
21495,21496,0.23,Very Good,E,VVS1,59.9,55.0,3.99,4.13,2.43,682
26782,26783,1.74,Premium,J,SI2,59.7,57.0,7.88,7.8,4.68,8690
9938,9939,1.07,Premium,I,SI1,61.2,58.0,6.62,6.55,4.03,4126
1764,1765,1.0,Very Good,G,SI1,63.1,56.0,6.41,6.31,4.01,4295
22509,22510,0.6,Ideal,D,VVS2,61.9,55.0,5.41,5.45,3.36,3382
1669,1670,0.28,Very Good,F,VVS1,58.9,62.0,4.27,4.32,2.53,572
2714,2715,0.5,Very Good,F,VS2,61.5,61.0,5.09,5.12,3.14,1436
6328,6329,2.01,Premium,J,SI2,,59.0,8.04,8.1,5.0,12403
23292,23293,0.33,Ideal,H,VS1,61.8,56.0,4.41,4.46,2.74,579
19430,19431,1.23,Very Good,G,VVS2,62.0,58.0,6.77,6.82,4.21,9803
1406,1407,0.57,Good,F,VS1,60.0,61.0,5.35,5.38,3.22,1801
19217,19218,0.52,Premium,G,VVS2,61.5,62.0,5.17,5.14,3.17,2012
23307,23308,0.76,Premium,E,SI1,58.3,62.0,6.12,5.95,3.52,2937
4240,4241,0.74,Good,E,VS2,63.5,56.0,5.75,5.8,3.67,3163
850,851,0.42,Ideal,G,VVS1,61.6,55.0,4.85,4.82,2.98,1235
6038,6039,1.01,Ideal,G,SI2,61.7,56.0,6.47,6.43,3.98,4260
22757,22758,1.04,Premium,F,SI1,62.8,57.0,6.5,6.43,4.06,5650
14585,14586,1.2,Ideal,I,VS1,62.8,55.0,6.79,6.75,4.25,6774
3923,3924,0.7,Very Good,H,SI1,62.0,60.0,5.65,5.7,3.52,2048
12455,12456,1.0,Very Good,G,SI1,61.0,56.7,6.44,6.47,3.94,5522
7823,7824,0.9,Very Good,E,SI1,61.4,56.0,6.19,6.23,3.81,5387
5229,5230,0.3,Ideal,D,VS2,62.9,56.0,4.28,4.24,2.68,911
24423,24424,1.5,Fair,H,VS1,61.7,60.0,7.37,7.27,4.52,11007
13436,13437,0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1024
2144,2145,1.5,Premium,F,SI1,62.8,56.0,7.36,7.3,4.6,11154
26538,26539,0.72,Very Good,F,VS1,60.2,59.0,5.79,5.84,3.5,2846
11939,11940,0.31,Ideal,G,VVS2,61.7,57.0,4.36,4.39,2.7,671
15822,15823,0.35,Premium,F,VS2,62.1,60.0,4.45,4.51,2.78,706
10803,10804,0.96,Ideal,F,VS1,61.7,56.0,6.4,6.34,3.93,4333
1647,1648,0.4,Very Good,D,VS2,59.6,58.0,4.8,4.83,2.87,851
22552,22553,1.27,Ideal,E,SI2,60.8,57.0,7.0,7.02,4.26,7023
6429,6430,0.23,Very Good,E,VVS2,63.0,58.0,3.92,3.95,2.48,498
9405,9406,1.0,Very Good,E,SI1,62.1,57.0,6.35,6.4,3.96,4864
4775,4776,0.33,Ideal,G,IF,61.3,57.0,4.42,4.46,2.72,984
3371,3372,1.5,Ideal,F,VS2,61.9,56.4,7.31,7.33,4.53,15444
792,793,1.52,Premium,F,VS2,60.9,61.0,7.46,7.28,4.49,13919
11177,11178,0.41,Ideal,F,VVS2,61.7,57.0,4.8,4.73,2.94,1192
20050,20051,0.76,Ideal,F,VS2,61.0,55.0,5.92,5.89,3.6,3201
26310,26311,0.36,Premium,G,VS1,61.7,59.0,4.55,4.59,2.82,726
6136,6137,1.04,Premium,H,VS2,60.4,59.0,6.66,6.51,3.98,5777
19860,19861,0.31,Very Good,F,SI1,63.5,56.0,4.33,4.3,2.74,663
834,835,0.41,Ideal,I,IF,62.6,57.0,4.78,4.74,2.98,1076
16401,16402,0.7,Very Good,D,VS2,60.8,59.0,5.67,5.71,3.46,2928
15273,15274,0.47,Good,H,VS1,65.1,59.0,4.81,4.87,3.15,1031
14762,14763,0.31,Ideal,G,IF,62.7,57.0,4.31,4.34,2.71,924
22924,22925,0.38,Ideal,F,VS2,61.9,55.0,4.68,4.64,2.89,969
26865,26866,0.54,Ideal,G,VVS1,61.3,56.0,5.28,5.23,3.22,2087
13794,13795,0.31,Ideal,D,SI2,62.5,55.0,4.34,4.3,2.7,593
4356,4357,0.33,Ideal,G,IF,61.7,55.0,4.47,4.48,2.76,946
17799,17800,1.02,Ideal,H,SI2,61.0,58.0,6.5,6.54,3.98,4360
6945,6946,0.85,Ideal,D,VVS1,62.0,56.0,6.05,6.11,3.77,7230
13070,13071,0.7,Premium,E,VS2,62.4,61.0,5.66,5.63,3.52,2818
5727,5728,0.71,Ideal,D,SI1,61.5,56.0,5.7,5.75,3.52,2719
6730,6731,0.32,Ideal,G,VS1,62.3,56.0,4.37,4.39,2.73,645
12619,12620,1.03,Ideal,H,SI2,61.1,57.0,6.48,6.52,3.97,4325
1321,1322,0.5,Ideal,E,VS2,62.2,56.0,5.12,5.11,3.18,1629
6792,6793,1.33,Premium,G,VS2,62.3,59.0,7.02,6.97,4.36,9682
14563,14564,1.2,Very Good,I,SI1,62.4,59.0,6.73,6.79,4.22,5816
7233,7234,0.61,Ideal,H,VS2,62.0,53.0,5.47,5.49,3.4,1591
26452,26453,0.31,Premium,G,VS2,62.4,59.0,4.34,4.38,2.72,544
1827,1828,0.79,Premium,F,SI1,62.3,54.0,5.97,5.91,3.7,2862
15751,15752,0.71,Ideal,F,VS2,62.2,56.0,5.74,5.71,3.56,2915
10713,10714,1.03,Premium,H,VS2,60.9,58.0,6.55,6.48,3.97,5364
24318,24319,0.35,Premium,F,VS1,60.7,58.0,4.58,4.54,2.77,984
23793,23794,2.11,Very Good,J,SI2,60.8,61.0,8.21,8.36,5.04,12771
12862,12863,1.01,Premium,G,VVS2,61.3,61.0,6.47,6.32,3.92,6470
13570,13571,1.25,Ideal,E,IF,61.8,55.0,6.95,6.9,4.28,16823
6449,6450,1.3,Ideal,F,SI2,62.2,56.0,6.96,7.0,4.34,6442
17169,17170,0.7,Premium,G,SI1,61.6,58.0,5.71,5.65,3.5,2285
19935,19936,0.29,Very Good,H,SI2,60.7,60.0,4.33,4.37,2.64,404
4711,4712,1.15,Very Good,H,SI2,62.0,58.0,6.66,6.7,4.14,4743
11849,11850,1.01,Very Good,D,VVS2,59.8,57.0,6.49,6.58,3.91,10499
16394,16395,2.0,Fair,G,VS2,67.6,58.0,7.65,7.61,5.16,18515
13045,13046,0.54,Ideal,E,VS2,61.7,55.0,5.23,5.2,3.22,1609
14898,14899,0.5,Ideal,E,SI2,62.4,57.0,5.07,5.03,3.15,1240
4121,4122,2.04,Premium,G,SI2,62.1,59.0,8.14,8.06,5.03,14900
5810,5811,0.23,Ideal,E,VS2,61.7,55.0,3.98,4.0,2.46,548
10605,10606,1.19,Premium,H,VS2,62.6,56.0,6.81,6.76,4.25,6198
22791,22792,1.01,Good,E,SI1,63.7,58.0,6.36,6.32,4.04,5226
10762,10763,0.3,Ideal,G,IF,62.2,55.0,4.3,4.32,2.68,844
215,216,1.5,Very Good,F,VS1,60.5,55.0,7.39,7.48,4.5,15585
1526,1527,1.01,Premium,G,VS2,60.2,59.0,6.48,6.55,3.92,5759
24695,24696,0.26,Ideal,D,VVS2,61.4,55.0,4.1,4.17,2.54,777
19910,19911,0.32,Ideal,J,VS2,62.3,55.3,4.36,4.37,2.72,413
3318,3319,0.5,Very Good,F,VS2,62.6,54.0,5.1,5.13,3.2,1404
10923,10924,1.21,Premium,F,SI2,59.0,60.0,6.99,6.94,4.11,6092
4315,4316,0.32,Good,G,VS2,56.7,64.0,4.52,4.55,2.57,603
13494,13495,0.5,Premium,F,VS1,60.6,59.0,5.19,5.14,3.13,1764
7721,7722,0.27,Ideal,D,VVS2,61.5,56.0,4.15,4.18,2.56,586
16654,16655,0.41,Ideal,F,VVS2,62.6,55.0,4.73,4.76,2.97,1115
15316,15317,0.9,Ideal,E,SI2,61.8,56.0,6.18,6.22,3.83,4770
22382,22383,0.38,Ideal,F,SI1,61.8,55.0,4.66,4.69,2.89,640
4420,4421,1.21,Ideal,J,VS1,61.8,56.2,6.78,6.86,4.2,5604
6390,6391,0.42,Very Good,F,SI1,63.4,56.0,4.8,4.76,3.03,926
3392,3393,1.0,Ideal,G,VS1,62.5,54.0,6.4,6.44,4.01,7648
15449,15450,0.3,Ideal,G,IF,61.9,57.0,4.27,4.29,2.65,863
16002,16003,1.24,Premium,G,VVS2,59.9,60.0,7.0,6.98,4.19,10388
15699,15700,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6653
7111,7112,0.51,Ideal,D,VS2,61.9,57.0,5.13,5.11,3.17,1882
24822,24823,0.4,Good,G,SI2,63.1,59.0,4.65,4.7,2.95,596
8255,8256,0.39,Ideal,G,VVS1,62.4,53.6,4.65,4.7,2.92,1008
14667,14668,0.9,Premium,I,SI2,60.6,60.0,6.23,6.28,3.79,3001
17220,17221,1.68,Ideal,J,VS1,61.1,57.0,7.64,7.7,4.69,10681
26847,26848,1.72,Ideal,G,VVS2,62.0,57.0,7.63,7.72,4.76,18431
13532,13533,2.4,Fair,J,SI2,65.4,56.0,8.35,8.29,5.44,15824
20669,20670,0.31,Ideal,F,IF,62.1,56.0,4.33,4.36,2.7,979
